N,P,K,temperatura,umidade,ph,precipitacao,indice_sucesso,tipo_temperatura,tipo_solo,solo_nutrientes,tipo_cultura,rotulo
90,42,43,"20,88","82,0","6,5","202,94","90,25",Moderado,Neutro,Alto,Grão,Arroz
85,58,41,"21,77","80,32","7,04","226,66","92,39",Moderado,Neutro,Alto,Grão,Arroz
60,55,44,"23,0","82,32","7,84","263,96","89,07",Moderado,Alcalino,Alto,Grão,Arroz
74,35,40,"26,49","80,16","6,98","242,86","91,44",Moderado,Neutro,Alto,Grão,Arroz
78,42,42,"20,13","81,6","7,63","262,72","92,25",Moderado,Alcalino,Alto,Grão,Arroz
69,37,42,"23,06","83,37","7,07","251,05","91,42",Moderado,Neutro,Alto,Grão,Arroz
69,55,38,"22,71","82,64","5,7","271,32","91,1",Moderado,Neutro,Alto,Grão,Arroz
94,53,40,"20,28","82,89","5,72","241,97","92,17",Moderado,Neutro,Alto,Grão,Arroz
89,54,38,"24,52","83,54","6,69","230,45","93,82",Moderado,Neutro,Alto,Grão,Arroz
68,58,38,"23,22","83,03","6,34","221,21","91,55",Moderado,Neutro,Alto,Grão,Arroz
91,53,40,"26,53","81,42","5,39","264,61","91,55",Moderado,Ácido,Alto,Grão,Arroz
90,46,42,"23,98","81,45","7,5","250,08","95,1",Moderado,Neutro,Alto,Grão,Arroz
78,58,44,"26,8","80,89","5,11","284,44","88,36",Moderado,Ácido,Alto,Grão,Arroz
93,56,36,"24,01","82,06","6,98","185,28","88,84",Moderado,Neutro,Alto,Grão,Arroz
94,50,37,"25,67","80,66","6,95","209,59","91,41",Moderado,Neutro,Alto,Grão,Arroz
60,48,39,"24,28","80,3","7,04","231,09","94,17",Moderado,Neutro,Alto,Grão,Arroz
85,38,41,"21,59","82,79","6,25","276,66","90,67",Moderado,Neutro,Alto,Grão,Arroz
91,35,39,"23,79","80,42","6,97","206,26","90,35",Moderado,Neutro,Alto,Grão,Arroz
77,38,36,"21,87","80,19","5,95","224,56","91,9",Moderado,Neutro,Alto,Grão,Arroz
88,35,40,"23,58","83,59","5,85","291,3","89,61",Moderado,Neutro,Alto,Grão,Arroz
89,45,36,"21,33","80,47","6,44","185,5","89,98",Moderado,Neutro,Alto,Grão,Arroz
76,40,43,"25,16","83,12","5,07","231,38","93,68",Moderado,Ácido,Alto,Grão,Arroz
67,59,41,"21,95","80,97","6,01","213,36","89,74",Moderado,Neutro,Alto,Grão,Arroz
83,41,43,"21,05","82,68","6,25","233,11","93,58",Moderado,Neutro,Alto,Grão,Arroz
98,47,37,"23,48","81,33","7,38","224,06","93,63",Moderado,Neutro,Alto,Grão,Arroz
66,53,41,"25,08","80,52","7,78","257,0","91,93",Moderado,Alcalino,Alto,Grão,Arroz
97,59,43,"26,36","84,04","6,29","271,36","86,4",Moderado,Neutro,Alto,Grão,Arroz
97,50,41,"24,53","80,54","7,07","260,26","92,47",Moderado,Neutro,Alto,Grão,Arroz
60,49,44,"20,78","84,5","6,24","240,08","90,85",Moderado,Neutro,Alto,Grão,Arroz
84,51,35,"22,3","80,64","6,04","197,98","91,9",Moderado,Neutro,Alto,Grão,Arroz
73,57,41,"21,45","84,94","5,82","272,2","90,13",Moderado,Neutro,Alto,Grão,Arroz
92,35,40,"22,18","80,33","6,36","200,09","89,01",Moderado,Neutro,Alto,Grão,Arroz
85,37,39,"24,53","82,74","6,36","224,68","93,37",Moderado,Neutro,Alto,Grão,Arroz
98,53,38,"20,27","81,64","5,01","270,44","88,59",Moderado,Ácido,Alto,Grão,Arroz
88,54,44,"25,74","83,88","6,15","233,13","92,35",Moderado,Neutro,Alto,Grão,Arroz
95,55,42,"26,8","82,15","5,95","193,35","88,12",Moderado,Neutro,Alto,Grão,Arroz
99,57,35,"26,76","81,18","5,96","272,3","85,75",Moderado,Neutro,Alto,Grão,Arroz
95,39,36,"23,86","83,15","5,56","285,25","88,46",Moderado,Neutro,Alto,Grão,Arroz
60,43,44,"21,02","82,95","7,42","298,4","86,11",Moderado,Neutro,Alto,Grão,Arroz
63,44,41,"24,17","83,73","5,58","257,03","92,65",Moderado,Neutro,Alto,Grão,Arroz
62,42,36,"22,78","82,07","6,43","248,72","91,13",Moderado,Neutro,Alto,Grão,Arroz
64,45,43,"25,63","83,53","5,53","209,9","91,0",Moderado,Neutro,Alto,Grão,Arroz
83,60,36,"25,6","80,15","6,9","200,83","89,11",Moderado,Neutro,Alto,Grão,Arroz
82,40,40,"23,83","84,81","6,27","298,56","91,84",Moderado,Neutro,Alto,Grão,Arroz
85,52,45,"26,31","82,37","7,22","265,54","91,31",Moderado,Neutro,Alto,Grão,Arroz
91,35,38,"24,9","80,53","6,13","183,68","87,58",Moderado,Neutro,Alto,Grão,Arroz
76,49,42,"24,96","84,48","5,21","196,96","93,69",Moderado,Ácido,Alto,Grão,Arroz
74,39,38,"23,24","84,59","7,78","233,05","93,98",Moderado,Alcalino,Alto,Grão,Arroz
79,43,39,"21,67","80,71","7,06","210,81","94,32",Moderado,Neutro,Alto,Grão,Arroz
88,55,45,"24,64","80,41","7,73","253,72","91,28",Moderado,Alcalino,Alto,Grão,Arroz
60,36,43,"23,43","83,06","5,29","219,9","88,99",Moderado,Ácido,Alto,Grão,Arroz
76,60,39,"20,05","80,35","6,77","208,58","89,58",Moderado,Neutro,Alto,Grão,Arroz
93,56,42,"23,86","82,23","7,38","195,09","90,4",Moderado,Neutro,Alto,Grão,Arroz
65,60,43,"21,97","81,9","5,66","227,36","89,33",Moderado,Neutro,Alto,Grão,Arroz
95,52,36,"26,23","83,84","5,54","286,51","88,03",Moderado,Neutro,Alto,Grão,Arroz
75,38,39,"23,45","84,79","6,22","283,93","91,21",Moderado,Neutro,Alto,Grão,Arroz
74,54,38,"25,66","83,47","7,12","217,38","92,79",Moderado,Neutro,Alto,Grão,Arroz
91,36,45,"24,44","82,45","5,95","267,98","88,67",Moderado,Neutro,Alto,Grão,Arroz
71,46,40,"20,28","82,12","7,24","191,95","91,99",Moderado,Neutro,Alto,Grão,Arroz
99,55,35,"21,72","80,24","6,5","277,96","86,63",Moderado,Neutro,Alto,Grão,Arroz
72,40,38,"20,41","82,21","7,59","245,15","91,96",Moderado,Alcalino,Alto,Grão,Arroz
83,58,45,"25,76","83,52","5,88","245,66","91,18",Moderado,Neutro,Alto,Grão,Arroz
93,58,38,"20,62","83,77","6,93","279,55","87,31",Moderado,Neutro,Alto,Grão,Arroz
70,36,42,"21,84","80,73","6,95","202,38","88,99",Moderado,Neutro,Alto,Grão,Arroz
76,47,42,"20,08","83,29","5,74","263,64","93,41",Moderado,Neutro,Alto,Grão,Arroz
99,41,36,"24,46","82,75","6,74","182,56","87,67",Moderado,Neutro,Alto,Grão,Arroz
99,54,37,"21,14","80,34","5,59","198,67","87,73",Moderado,Neutro,Alto,Grão,Arroz
86,59,35,"25,79","82,11","6,95","243,51","90,66",Moderado,Neutro,Alto,Grão,Arroz
